register_id,user_id,datetime,evidence,latitude,longitude,cep,city,state,neighbourhood,access_difficulty,focus_size,larvae,intensity
1,ana.silva@gmail.com,2025-06-01T10:00:00,,-27.5935,-48.5585,88015-700,Florianópolis,SC,Centro,7,8,True,6.8
2,carlos.souza@gmail.com,2025-06-02T14:30:00,,-27.5975,-48.5494,88020-001,Florianópolis,SC,Centro,2,5,False,2.0
3,julia.martins@gmail.com,2025-06-03T09:15:00,,-27.5895,-48.5433,88025-200,Florianópolis,SC,Agronômica,5,3,False,5.0
4,marina.oliveira@gmail.com,2025-06-04T16:45:00,,-27.5855,-48.5144,88030-000,Florianópolis,SC,Itacorubi,8,7,False,8.0
5,pedro.silva@gmail.com,2025-06-05T11:20:00,,-27.5943,-48.5036,88035-001,Florianópolis,SC,Santa Mônica,3,6,False,3.0
6,lucas.costa@gmail.com,2025-06-06T13:10:00,,-27.6007,-48.5196,88040-400,Florianópolis,SC,Trindade,6,9,False,6.0
7,rafael.pereira@gmail.com,2025-06-07T08:00:00,,-27.5012,-48.4375,88050-000,Florianópolis,SC,Ingleses do Rio Vermelho,9,1,False,9.0
8,beatriz.fernandes@gmail.com,2025-06-08T17:30:00,,-27.6389,-48.4333,88060-000,Florianópolis,SC,Barra da Lagoa,1,4,False,1.0
9,joao.santos@gmail.com,2025-06-09T15:00:00,,-27.5915,-48.5836,88070-000,Florianópolis,SC,Estreito,4,2,False,4.0
10,cleber@gmail.com,2025-06-10T12:00:00,,-27.5915,-48.5836,88075-000,Florianópolis,SC,Estreito,10,10,False,10.0
11,ana.silva@gmail.com,2025-06-11T09:00:00,,-27.5935,-48.5585,88015-700,Florianópolis,SC,Centro,2,8,False,2.0
12,carlos.souza@gmail.com,2025-06-12T18:30:00,,-27.5975,-48.5494,88020-001,Florianópolis,SC,Centro,5,5,False,5.0
13,julia.martins@gmail.com,2025-06-13T07:45:00,,-27.5895,-48.5433,88025-200,Florianópolis,SC,Agronômica,8,3,False,8.0
14,marina.oliveira@gmail.com,2025-06-14T19:15:00,,-27.5855,-48.5144,88030-000,Florianópolis,SC,Itacorubi,3,7,False,3.0
15,pedro.silva@gmail.com,2025-06-15T20:20:00,,-27.5943,-48.5036,88035-001,Florianópolis,SC,Santa Mônica,6,6,False,6.0
16,lucas.costa@gmail.com,2025-06-16T21:10:00,,-27.6007,-48.5196,88040-400,Florianópolis,SC,Trindade,9,9,False,9.0
17,rafael.pereira@gmail.com,2025-06-17T22:00:00,,-27.5012,-48.4375,88050-000,Florianópolis,SC,Ingleses do Rio Vermelho,1,1,False,1.0
18,beatriz.fernandes@gmail.com,2025-06-18T23:30:00,,-27.6389,-48.4333,88060-000,Florianópolis,SC,Barra da Lagoa,4,4,False,4.0
19,joao.santos@gmail.com,2025-06-19T08:00:00,,-27.5915,-48.5836,88070-000,Florianópolis,SC,Estreito,7,2,False,7.0
20,cleber@gmail.com,2025-06-20T10:00:00,,-27.5915,-48.5836,88075-000,Florianópolis,SC,Estreito,10,10,False,10.0
21,ana.silva@gmail.com,2025-07-01T08:30:00,,-27.5935,-48.5585,88015-700,Florianópolis,SC,Centro,5,8,False,5.0
22,carlos.souza@gmail.com,2025-07-02T12:45:00,,-27.5975,-48.5494,88020-001,Florianópolis,SC,Centro,8,5,False,8.0
23,julia.martins@gmail.com,2025-07-03T14:10:00,,-27.5895,-48.5433,88025-200,Florianópolis,SC,Agronômica,3,3,False,3.0
24,marina.oliveira@gmail.com,2025-07-04T16:00:00,,-27.5855,-48.5144,88030-000,Florianópolis,SC,Itacorubi,6,7,False,6.0
25,pedro.silva@gmail.com,2025-07-05T18:20:00,,-27.5943,-48.5036,88035-001,Florianópolis,SC,Santa Mônica,9,6,False,9.0
